claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh
C0038,UrbanCement 959,2256.11,13650.43,11579.1,5365.25,4692.37
C0039,AquaMetals 253,1471.18,11162.9,9710.59,2622.77,2490.18
C0040,GreenPower 475,1627.29,10367.05,8771.55,6301.58,5740.37
C0041,NovaCement 930,339.03,5612.86,5268.21,2744.07,2445.12
C0043,HydroTextiles 158,664.76,5943.84,5308.28,7248.7,6697.81
C0044,BluePower 948,1384.13,13407.56,12081.19,4736.53,4033.65
C0045,AquaSystems 950,756.65,5598.05,4854.52,6777.94,6475.43
C0046,GreenAlloys 544,835.41,9560.95,8715.8,6639.7,6075.15
C0047,GreenMetals 302,1041.49,15037.61,14069.55,6397.12,5439.83
C0048,HydroFoods 777,683.9,5455.75,4710.83,7595.08,6774.69
C0049,CedarAlloys 896,292.76,4542.19,4230.63,3424.55,3002.61
C0050,GreenLabs 289,278.23,4626.72,4364.31,2129.86,1911.1
C0051,HydroLabs 239,2311.43,14223.02,12030.9,2414.78,2073.48
C0052,CedarAlloys 819,324.77,4673.79,4364.19,3209.8,2919.17
C0053,CedarPower 629,1977.4,14243.35,12170.93,2953.67,2796.64
C0054,GreenMaterials 522,1599.61,11416.21,9930.73,2399.75,2315.56
C0055,AquaChem 709,457.28,6242.91,5781.81,2604.47,2220.04
C0056,SunMaterials 254,1924.51,10954.48,9059.54,2898.22,2706.47
C0057,HydroPower 699,806.15,11860.95,11039.02,7273.27,6611.38
C0058,AquaChem 130,529.66,5782.32,5264.15,3629.42,3334.17
C0059,BlueChem 634,683.32,9059.37,8350.1,4348.31,3910.88
C0061,NovaPower 652,987.04,7931.33,6968.55,6430.88,5905.02
C0062,SunTextiles 960,2197.32,12893.13,10704.68,6975.22,6344.41
C0063,SunFoods 799,826.34,7910.52,7006.83,6705.6,6411.21
C0064,CedarSystems 821,570.91,7511.21,6966.73,3937.72,3671.26
C0066,SunTextiles 501,1501.2,15946.48,14504.52,6346.58,5632.46
C0067,AquaMaterials 388,846.75,11762.49,10854.69,2159.0,1958.19
C0068,UrbanCement 417,2343.88,15871.77,13346.9,5157.83,4390.15
C0069,CedarPower 448,1300.86,8832.36,7523.47,2540.27,2331.83
C0070,AquaCement 306,1194.0,14903.82,13707.48,2345.57,2193.0
C0071,BlueLabs 586,840.99,10020.82,9202.35,2562.63,2226.34
C0072,SunAlloys 406,1247.66,13202.26,11912.94,2419.6,2190.36
C0073,HydroLabs 843,1720.93,9894.36,8303.72,6327.45,5754.34
C0075,CedarAlloys 630,511.83,6294.58,5823.06,3963.71,3832.99
C0076,HydroChem 420,996.1,11262.03,10291.89,2140.23,1895.46
C0077,EcoMaterials 980,1792.11,11520.22,9803.87,4726.28,4072.17
C0079,UrbanChem 968,2229.14,15818.02,13518.27,3685.26,3243.03
C0080,GreenCement 298,2609.61,13372.65,10990.71,4793.35,4382.09
C0082,TerraMetals 55,693.91,4774.64,4116.75,2701.05,2388.84
C0083,EcoMetals 864,746.3,12925.29,12196.75,6504.79,6126.58
C0084,TerraSystems 443,596.94,10272.63,9719.46,5825.08,5369.78
C0085,GreenAlloys 671,640.3,7004.37,6337.24,6790.3,5891.25
C0087,EcoChem 806,1671.65,15985.17,14338.18,3729.99,3556.85
C0088,BlueLabs 854,1757.95,11223.51,9326.86,4258.03,3876.38
C0089,UrbanCement 365,268.12,4992.57,4731.47,3210.88,2939.91
C0090,CedarTextiles 449,2015.32,15518.67,13651.6,6235.8,5835.8
C0091,NovaTextiles 235,972.7,8039.04,7083.68,7099.86,6254.42
C0092,HydroAlloys 25,473.38,7048.19,6553.36,3873.71,3351.08
C0093,TerraMetals 561,1592.6,13545.3,12096.08,6411.03,5852.31
C0094,SunAlloys 256,1012.42,14850.14,13750.14,6431.74,5804.9
C0095,CedarChem 652,1795.81,15473.12,13828.54,4920.03,4751.26
C0097,GreenSystems 112,1181.2,8737.15,7507.27,2432.91,2299.48
C0098,NovaTextiles 231,685.36,4219.6,3535.35,2716.39,2634.49
C0099,NovaFoods 489,1172.54,8130.51,6898.94,4472.3,3886.68
C0100,TerraTextiles 597,853.4,9862.39,9076.62,5857.92,5449.69
C0101,TerraChem 49,621.84,9637.08,8966.74,6013.57,5798.98
C0102,GreenLabs 90,392.11,6422.2,6008.73,2272.06,2034.82
C0103,GreenMetals 569,578.56,11164.31,10599.21,6771.89,5875.27
C0104,NovaCement 895,2472.26,14294.8,11872.64,3498.45,3202.71
C0105,UrbanLabs 983,789.32,8466.13,7692.39,6572.38,5744.88
C0106,TerraFoods 515,387.04,7948.1,7519.87,2529.6,2348.53
C0107,NovaMaterials 166,2008.04,12757.16,10894.42,5994.5,5586.53
C0108,BluePower 236,469.38,5895.88,5468.53,5912.02,5374.77
C0109,BlueFoods 4,597.87,4395.64,3841.78,7561.97,7219.94
C0110,GreenSystems 415,625.84,11537.15,10884.52,3602.53,3237.42
C0111,SunTextiles 663,1926.89,14067.69,12274.87,2199.88,2072.83
C0112,CedarFoods 619,1501.8,10731.78,9249.82,4278.92,3777.89
C0113,HydroFoods 757,1956.84,15804.32,13956.86,4406.0,4267.23
C0114,EcoPower 428,500.44,5310.05,4771.87,6993.11,6210.51
C0115,NovaTextiles 960,960.73,6305.61,5286.2,3197.48,2751.4
C0116,EcoChem 879,1786.08,14564.72,12857.55,4184.79,3686.77
C0117,UrbanPower 782,1939.27,10925.22,9095.06,2675.38,2317.23
C0119,TerraAlloys 394,1020.28,7965.76,6965.83,5448.08,5017.15
C0120,SunLabs 504,615.69,6521.56,5861.35,4174.63,3983.71
C0121,NovaTextiles 684,704.13,8205.84,7535.69,7351.94,7044.11
C0122,SunSystems 344,738.74,6584.64,5808.56,3121.71,2852.59
C0123,TerraCement 46,1228.58,9881.6,8549.29,7376.33,6716.44
C0124,TerraFoods 136,2424.68,13224.68,11013.34,6921.91,5896.44
C0125,TerraTextiles 952,415.71,5047.5,4595.34,2857.86,2582.52
C0126,CedarSystems 742,940.85,10599.9,9720.92,3009.21,2861.05
C0128,GreenFoods 603,379.16,5623.73,5269.15,7028.67,6594.69
C0129,AquaAlloys 180,795.76,9080.1,8336.59,4574.23,4047.14
C0130,SunSystems 746,931.55,10464.03,9607.83,3466.24,3295.17
C0131,EcoMetals 887,1532.68,13372.83,11851.28,4947.14,4484.24
C0132,CedarChem 361,597.17,5682.83,5042.58,7337.37,6277.97
C0133,BlueTextiles 554,388.43,6651.06,6292.52,3492.52,3337.89
C0134,GreenTextiles 914,1266.97,9687.17,8532.99,4302.48,4076.74
C0135,HydroCement 817,876.24,12951.05,12046.11,4678.18,4020.99
C0136,SunMetals 930,1888.3,13574.59,11570.86,5524.9,4832.98
C0137,EcoFoods 922,450.58,9368.28,8897.05,5614.58,4776.86
C0138,CedarMetals 397,820.33,5722.55,4966.05,2937.8,2711.14
C0139,NovaAlloys 319,1724.5,12768.93,11034.99,4636.05,4163.34
C0141,EcoMaterials 749,2352.97,15903.33,13743.67,5022.78,4689.78
C0142,UrbanTextiles 734,1390.68,8957.05,7671.07,5190.0,4717.34
C0143,UrbanTextiles 419,1128.48,11835.45,10615.68,3982.99,3653.18
C0144,CedarMetals 325,589.5,11935.11,11307.68,5746.0,5348.46
C0145,HydroCement 777,1875.79,14355.44,12391.32,3456.74,3299.38
C0146,UrbanCement 280,965.68,12161.89,11233.6,7106.8,6431.3
C0147,TerraMaterials 952,1639.32,11398.71,9901.92,3503.09,3263.27
C0149,HydroSystems 853,879.48,8002.14,7092.48,5095.02,4555.64
C0150,CedarFoods 403,2817.14,15101.72,12426.2,6738.28,5933.73
C0151,AquaFoods 762,768.04,9871.17,9069.34,4610.49,4115.42
C0152,EcoFoods 461,1316.93,9037.79,7627.11,3303.71,2863.43
C0153,SunTextiles 8,1370.49,8166.33,6867.13,6486.31,6184.05
C0154,HydroCement 116,1145.88,15983.59,14864.5,3159.25,2904.18
C0155,EcoSystems 932,1022.5,15773.69,14702.03,2483.02,2172.92
C0157,HydroFoods 685,1968.04,11901.7,9760.29,7556.23,6861.25
C0159,AquaTextiles 786,1532.98,14019.02,12558.7,6616.77,6162.96
C0160,UrbanSystems 168,2253.33,14737.77,12316.66,2891.5,2771.41
C0161,NovaTextiles 533,263.91,4996.72,4746.55,2390.44,2193.57
C0162,GreenMetals 338,1023.4,13912.9,12951.63,3024.0,2620.92
C0163,HydroPower 538,1336.31,13866.56,12462.12,2610.16,2300.76
C0164,EcoMaterials 202,1202.48,13053.14,11776.18,4655.74,4393.61
C0165,SunAlloys 750,434.97,5603.14,5194.57,2572.9,2441.58
C0166,GreenTextiles 698,677.7,5819.09,5188.68,5694.47,5255.14
C0167,AquaLabs 974,1093.04,14499.74,13358.55,3157.65,2814.33
C0168,TerraMaterials 7,1386.18,10700.72,9177.27,6657.01,6436.07
C0170,BlueTextiles 754,1166.68,10358.64,9081.08,3831.12,3405.11
C0171,TerraTextiles 2,968.71,6704.87,5806.3,7019.81,6664.36
C0172,GreenChem 829,1115.9,15239.39,14051.13,2427.18,2183.75
C0173,NovaTextiles 679,483.8,6726.29,6208.98,2645.36,2431.81
C0174,GreenCement 651,434.91,7980.69,7524.31,4084.17,3786.5
C0175,CedarLabs 610,1042.83,6623.61,5491.92,6986.01,6692.74
C0176,GreenCement 459,839.27,5639.23,4804.32,6788.1,5916.67
C0177,HydroCement 995,441.57,4721.27,4286.38,4306.96,3687.46
C0178,AquaSystems 924,1755.16,15747.88,13949.83,4842.52,4133.06
C0179,BlueSystems 397,937.54,11100.08,10081.75,2804.29,2655.14
C0180,UrbanSystems 31,971.01,8432.34,7537.69,4347.68,3886.92
C0181,SunSystems 931,950.81,8819.61,7861.48,3910.94,3527.08
C0182,TerraAlloys 350,739.28,7984.44,7192.25,4001.52,3836.03
C0183,SunPower 722,1030.11,8791.34,7708.71,3279.96,2884.19
C0187,NovaSystems 564,1122.09,7390.03,6276.07,2983.24,2715.97
C0188,TerraLabs 77,1773.64,14296.58,12477.26,3131.85,2707.87
C0189,AquaCement 101,1735.17,13769.36,12070.62,4749.7,4047.42
C0190,AquaChem 934,1339.12,9127.91,7728.44,2751.19,2392.09
C0191,EcoMaterials 304,1773.03,14517.14,12809.06,2231.84,2040.7
C0192,SunCement 626,479.46,8645.46,8168.13,5502.93,5032.94
C0193,HydroLabs 214,603.55,5847.56,5293.57,3136.61,3006.07
C0194,BlueChem 225,2171.58,15698.12,13583.32,2544.04,2201.69
C0195,CedarTextiles 429,1211.55,9286.7,8176.96,2297.44,1954.61
C0196,HydroMetals 204,462.82,7760.83,7327.27,7066.44,6060.85
C0197,UrbanLabs 118,373.29,4905.93,4561.29,6690.89,6060.69
C0198,CedarPower 707,1559.51,9451.19,7788.37,2447.14,2282.5
C0199,EcoPower 286,2702.93,15579.6,13044.03,2618.57,2317.59
C0200,BlueLabs 618,2373.19,15331.91,12979.19,2798.14,2530.97
C0201,CedarLabs 898,1726.82,15667.29,13900.3,5976.61,5469.98
C0202,TerraTextiles 195,864.71,5259.09,4462.95,2525.9,2314.91
C0203,EcoSystems 611,334.31,4615.08,4260.84,2966.38,2530.06
C0204,EcoPower 663,809.53,15730.87,14843.88,3399.98,3235.31
C0205,AquaCement 195,1229.38,10909.12,9601.79,7118.47,6370.18
C0206,SunSystems 862,1295.82,14396.81,13025.85,7318.64,7019.53
C0207,HydroChem 437,2160.61,15359.19,13052.23,4180.7,3784.13
C0208,HydroTextiles 186,903.73,12139.67,11171.85,4491.18,3967.38
C0209,HydroMaterials 935,737.23,6417.26,5681.24,2690.22,2441.79
C0210,AquaChem 277,1061.18,9938.11,8896.3,4728.71,4548.93
C0211,AquaFoods 228,2247.12,11723.79,9641.87,2379.58,2174.27
C0213,GreenMaterials 630,1110.84,8302.55,7162.27,5743.91,4909.49
C0214,SunChem 628,1170.79,10168.0,9051.93,6151.15,5807.55
C0215,CedarTextiles 131,919.02,6543.29,5580.47,5547.54,4785.51
C0216,SunCement 100,569.7,6022.19,5493.01,3187.17,2889.08
C0217,AquaMaterials 760,1126.22,12556.26,11344.6,3063.49,2795.72
C0218,EcoFoods 248,804.64,5701.86,4894.17,5126.32,4929.51
C0219,EcoFoods 781,1337.25,13026.28,11615.91,6582.9,5737.22
C0220,EcoTextiles 182,760.72,9716.32,8926.18,4256.33,3744.66
C0221,BlueCement 273,486.36,5744.51,5231.03,4513.52,4178.11
C0223,AquaSystems 907,816.06,13539.13,12719.33,4635.12,4487.28
C0224,NovaChem 491,1636.02,10904.37,9173.2,5136.89,4915.81
C0225,NovaCement 792,2235.91,14204.48,11882.35,7571.53,6535.84
C0226,BlueChem 748,1032.57,11354.33,10277.9,7263.43,6560.04
C0227,TerraFoods 170,1203.06,6503.19,5375.48,2418.7,2229.21
C0228,GreenAlloys 670,491.2,6270.45,5741.15,6565.94,5649.37
C0229,BlueFoods 677,1130.58,13810.79,12624.35,3393.91,2899.27
C0230,GreenChem 985,1152.73,7185.81,6105.49,6366.85,5886.8
C0231,NovaSystems 213,717.38,4250.81,3488.94,5241.42,5059.87
C0232,CedarPower 728,724.41,5250.7,4478.21,4273.79,3955.03
C0233,CedarCement 196,1520.35,9038.58,7574.0,4736.79,4229.62
C0234,BlueLabs 165,771.75,8959.58,8225.22,7178.41,6334.39
C0235,NovaLabs 98,690.27,9725.13,9004.51,3203.09,2928.72
C0236,BlueMaterials 212,1085.38,13672.1,12501.26,3563.17,3347.36
C0237,AquaMetals 942,1298.56,8944.16,7512.5,3335.79,3075.92
C0238,GreenCement 786,2433.07,13438.28,11163.7,3260.14,2829.41
C0240,BlueMaterials 159,2200.65,12794.82,10696.88,4526.73,4104.4
C0241,AquaMetals 819,852.41,13042.36,12190.44,3683.2,3467.36
C0242,HydroPower 505,1565.87,8862.2,7367.06,6427.9,6044.75
C0243,SunFoods 677,1661.52,10372.47,8781.54,3136.92,2681.2
C0244,CedarLabs 157,856.67,8354.2,7421.78,5610.23,4777.7
C0245,AquaPower 412,2427.38,14531.36,12316.59,3662.28,3384.19
C0246,NovaSystems 779,1824.74,13288.28,11576.39,3952.71,3521.8
C0247,EcoLabs 25,763.35,6797.86,5959.97,6015.55,5477.32
C0248,NovaTextiles 817,828.47,4564.54,3775.47,4280.4,4125.85
C0249,CedarPower 258,2397.24,14425.98,12043.65,6203.37,5856.54
C0250,NovaMaterials 798,1241.54,6922.81,5714.04,2249.5,1990.35
C0251,TerraTextiles 743,1067.89,10473.03,9337.35,4718.74,4214.53
C0252,GreenSystems 836,614.71,8324.85,7755.98,5282.35,4507.53
C0253,CedarAlloys 921,581.68,8119.52,7490.01,3030.24,2906.61
C0254,EcoMetals 62,843.23,5073.88,4274.53,2828.98,2547.13
C0255,AquaMetals 630,1704.01,14609.67,12887.53,5611.57,4963.27
C0256,UrbanTextiles 168,493.95,6202.63,5682.28,6481.14,6167.3
C0257,NovaMaterials 841,1375.45,8096.38,6790.16,5873.27,5642.28
C0258,TerraTextiles 752,1043.51,12329.04,11239.74,7103.88,6405.85
C0259,TerraTextiles 554,1570.71,11537.97,10025.79,5456.84,5204.69
C0261,HydroSystems 742,841.71,6997.33,6150.98,6663.62,5855.66
C0262,SunChem 83,1884.14,15150.05,13351.36,4804.97,4313.71
C0263,HydroCement 72,1735.54,10285.11,8538.5,4748.75,4325.07
C0264,AquaLabs 513,389.73,6334.44,5939.33,3293.04,3194.02
C0265,NovaTextiles 768,1735.99,12854.9,11259.64,2276.82,2166.36
C0266,AquaCement 401,788.97,8049.61,7215.72,5628.59,4946.64
C0267,HydroFoods 904,1531.59,10102.47,8481.38,6258.51,5320.62
C0268,UrbanFoods 350,1315.19,7301.88,5993.69,5303.45,4514.12
C0269,TerraTextiles 638,1170.69,14347.65,13250.03,7231.13,6555.57
C0270,TerraTextiles 937,2533.58,15830.33,13174.1,7517.76,6571.92
C0271,NovaMetals 321,1210.67,10657.94,9424.65,5184.28,4632.67
C0272,HydroMaterials 807,597.37,8101.99,7498.13,2799.74,2430.0
C0273,EcoMetals 228,649.36,13160.22,12466.02,5146.9,4797.1
C0274,TerraAlloys 890,667.42,4966.37,4342.47,2402.14,2323.82
C0275,TerraCement 156,1295.71,11357.48,10135.75,4545.78,4370.25
C0276,HydroSystems 126,720.42,6307.53,5541.58,7071.47,6732.01
C0277,GreenSystems 659,2129.24,12752.84,10535.0,5396.85,4914.98
C0278,AquaChem 771,592.79,6848.11,6192.14,2352.8,2081.36
C0279,EcoTextiles 439,1856.7,11799.31,10018.04,5457.22,4762.72
C0280,GreenCement 863,622.96,11320.19,10691.56,3450.61,3254.51
C0281,NovaCement 414,1162.5,6284.67,5214.14,6634.29,6274.96
C0282,SunMetals 304,2489.37,15432.76,13130.31,2166.29,1849.09
C0283,AquaFoods 969,1755.44,10693.82,8977.75,2529.86,2267.62
C0284,NovaChem 637,384.32,6012.24,5653.0,6168.74,5443.45
C0285,SunPower 472,1751.2,10216.0,8417.68,3817.18,3366.85
C0286,AquaCement 377,1508.2,9674.28,8267.26,7284.13,6877.46
C0287,TerraAlloys 378,1768.61,14250.32,12391.71,3429.35,2945.12
C0289,AquaMaterials 753,1292.8,7564.44,6354.58,3942.76,3578.41
C0290,GreenChem 800,1820.3,11879.38,9918.54,2737.44,2494.6
C0291,AquaFoods 153,1061.73,12312.9,11238.51,2360.55,2250.14
C0292,HydroChem 541,1003.47,7499.71,6525.72,2276.24,2105.87
C0293,SunMaterials 109,506.66,4362.57,3885.52,3465.62,3197.77
C0294,GreenTextiles 846,1289.81,11203.48,9893.04,2220.07,2061.6
C0295,SunMaterials 101,748.27,13437.28,12726.52,7283.22,6539.13
C0296,AquaFoods 769,2047.53,11661.79,9591.46,7210.39,6957.44
C0297,UrbanLabs 546,1048.11,5931.57,4873.41,3949.57,3823.39
C0298,BlueSystems 512,1003.09,9861.62,8759.74,7479.25,7137.37
C0299,EcoMaterials 944,492.33,7336.55,6883.22,4872.35,4478.48
C0300,UrbanPower 986,1121.55,7254.26,6080.96,4875.0,4466.52
C0301,AquaChem 854,1495.42,8800.7,7243.43,5018.98,4756.09
C0302,BlueMetals 403,459.95,6562.16,6079.37,5840.19,5192.06
C0303,EcoPower 355,985.09,8316.56,7396.36,6042.13,5598.91
C0304,GreenPower 266,754.77,14821.08,14004.92,3984.58,3628.55
C0305,TerraLabs 238,2059.16,13015.91,10999.71,2819.13,2417.61
C0306,BlueMaterials 416,1140.23,15915.13,14782.43,3978.46,3611.25
C0307,UrbanMaterials 178,1771.08,11434.69,9483.97,2177.69,2043.22
C0308,AquaCement 758,625.94,7432.09,6790.58,2280.45,2159.24
C0310,SunLabs 351,971.42,10149.79,9227.22,5025.03,4407.59
C0311,AquaMaterials 843,2125.84,14766.95,12556.43,4488.92,3919.87
C0312,GreenLabs 492,897.59,15932.38,14942.57,6335.5,5646.53
C0313,GreenAlloys 769,2101.32,13630.83,11430.93,5413.26,5187.27
C0314,AquaChem 851,1031.68,9488.95,8530.04,3558.67,3270.38
C0316,EcoPower 50,824.38,8352.77,7486.23,5211.85,4540.2
C0317,BlueAlloys 968,2150.85,13459.72,11320.19,7421.76,7072.55
C0318,SunCement 227,1919.44,11093.11,9197.88,3548.97,3393.45
C0319,CedarTextiles 720,765.73,4894.41,4130.56,5388.21,5182.9
C0320,TerraFoods 70,898.5,5600.39,4668.97,7253.78,6874.29
C0321,HydroCement 587,980.22,12673.14,11781.99,4534.61,4341.9
C0322,UrbanChem 314,659.65,9892.04,9284.58,7172.97,6859.64
C0324,CedarFoods 477,694.86,4992.44,4318.53,2313.13,2149.64
C0325,UrbanChem 94,2434.8,15408.25,12882.61,6216.83,5928.51
C0326,AquaTextiles 868,737.33,7703.05,6948.5,2433.47,2286.13
C0327,SunCement 197,737.36,7290.38,6557.99,5548.24,5151.84
C0328,AquaMaterials 17,1389.14,11132.73,9820.66,7414.11,6382.25
C0329,EcoTextiles 59,1516.91,9263.37,7611.96,5940.75,5435.76
C0330,NovaPower 31,1930.93,13067.93,11185.55,4892.22,4235.08
C0331,BlueLabs 612,2159.64,13103.93,10968.29,6733.5,6502.06
C0332,UrbanFoods 156,918.32,11851.09,10968.74,4411.22,4099.43
C0333,CedarTextiles 204,759.27,5304.28,4512.1,6984.16,6607.19
C0334,BlueLabs 165,1059.99,11404.16,10390.49,3791.96,3660.21
C0336,CedarChem 93,1454.12,10356.23,9033.1,4471.33,3855.3
C0337,EcoSystems 79,782.53,8739.26,7902.26,3093.88,2894.34
C0338,BlueMaterials 823,809.22,15047.1,14163.73,2279.26,2100.58
C0339,NovaFoods 263,1199.12,15835.15,14635.55,3249.28,2928.13
C0340,CedarPower 155,1583.63,13955.8,12480.79,2862.19,2539.42
C0341,EcoSystems 369,822.14,10899.4,10113.1,2480.27,2385.28
C0343,UrbanPower 852,733.04,6969.5,6234.83,5115.5,4473.7
C0344,GreenPower 888,364.92,5971.53,5632.78,6668.87,6086.56
C0345,AquaCement 664,1288.29,12285.53,11002.74,3548.25,3285.71
C0346,TerraChem 428,817.22,7804.67,7044.06,3479.69,3312.69
C0348,BlueMetals 295,2376.73,15848.8,13515.08,2346.84,2256.2
C0349,UrbanTextiles 755,1022.76,8438.61,7363.75,2160.14,1838.39
C0350,EcoCement 503,1774.15,10752.02,9107.01,5380.45,4732.81
C0351,BlueTextiles 805,685.6,7117.75,6486.67,5157.33,4798.51
C0352,SunAlloys 907,979.05,9119.57,8086.09,5055.91,4839.14
C0353,AquaLabs 527,347.69,4995.02,4664.85,7223.04,6834.75
C0355,AquaSystems 717,1590.91,11116.88,9553.34,3873.55,3312.52
C0356,BlueAlloys 412,937.05,13122.23,12192.51,7587.17,7175.27
C0357,NovaTextiles 481,1141.55,10944.52,9822.1,2369.91,2133.02
C0358,EcoAlloys 621,1577.28,11770.26,10225.78,6446.34,5837.15
C0360,BlueFoods 15,1752.64,13963.8,12192.11,5364.01,4985.14
C0361,UrbanSystems 863,1157.4,12735.18,11488.79,4958.65,4779.91
C0362,EcoCement 161,1195.44,15340.9,14105.5,4878.34,4670.09
C0363,EcoMetals 815,1375.74,8723.44,7376.97,6348.78,6073.89
C0364,AquaLabs 187,799.87,4801.14,4009.54,7178.16,6513.06
C0365,NovaAlloys 212,822.54,13869.52,13114.96,4842.3,4300.15
C0366,NovaSystems 715,853.37,4829.24,3999.49,7271.93,6589.17
C0367,TerraSystems 462,611.35,9153.23,8580.44,2756.97,2597.26
C0368,EcoCement 21,740.09,10673.65,9913.5,3283.22,2962.79
C0369,TerraMaterials 625,2691.32,14964.02,12438.9,2930.46,2525.18
C0370,TerraAlloys 538,622.78,11742.71,11130.41,5897.73,5042.73
C0371,HydroCement 780,993.24,8651.93,7646.01,2168.18,1971.18
C0372,SunTextiles 829,1769.55,10425.03,8589.27,4164.03,3952.7
C0373,TerraLabs 294,1357.62,10611.05,9192.5,4846.04,4148.21
C0375,GreenFoods 516,646.51,11326.55,10699.48,4278.36,4098.69
C0376,GreenLabs 377,1738.27,10779.49,9081.92,6230.55,5636.0
C0377,GreenFoods 696,2607.13,14335.8,11892.93,2772.59,2680.76
C0378,EcoMetals 721,392.97,4245.95,3849.1,4548.91,4321.83
C0379,BlueMetals 402,1714.52,13258.4,11470.72,7012.22,6697.16
C0380,UrbanLabs 496,1614.74,9000.9,7438.47,7283.78,6705.85
C0381,GreenPower 456,851.74,13090.83,12190.96,2273.7,2037.91
C0382,UrbanAlloys 52,1595.97,14662.42,12989.89,6605.93,5795.07
C0383,EcoCement 494,1102.65,6530.29,5505.04,6834.87,5889.9
C0384,AquaLabs 351,1544.19,15195.53,13601.15,5241.67,4731.95
C0385,TerraMetals 288,828.33,7047.51,6240.19,2553.35,2204.74
C0387,NovaLabs 574,2508.97,14382.53,12015.02,3700.78,3265.83
C0388,GreenAlloys 170,2456.88,15918.57,13438.31,4410.9,3884.46
C0389,CedarLabs 926,603.13,8854.23,8289.57,5210.06,4912.6
C0390,HydroTextiles 911,1004.66,7102.58,6003.41,4803.86,4143.71
C0391,EcoMaterials 574,1044.6,9713.83,8663.32,5478.55,5052.11
C0393,SunFoods 154,1673.54,11075.65,9457.58,3669.22,3454.0
C0394,BlueFoods 485,2711.34,15394.03,12871.78,4197.19,3574.19
C0395,SunCement 166,1455.82,13871.97,12469.11,2276.82,1970.62
C0396,HydroPower 25,1446.1,13785.1,12256.44,6002.57,5179.63
C0398,AquaFoods 333,2063.87,15892.3,13947.98,2166.77,1968.57
C0399,SunFoods 355,1226.77,9042.03,7719.13,3023.66,2648.23
C0400,BlueTextiles 517,493.39,4231.95,3714.99,3743.17,3480.81
C0401,CedarPower 460,826.52,6341.97,5442.23,5012.94,4516.48
C0402,EcoSystems 533,1881.21,13224.78,11217.8,4083.11,3859.55
C0403,BlueMaterials 497,605.88,4588.64,3927.32,3339.14,2903.42
C0404,SunSystems 405,2051.41,14462.27,12471.69,5941.36,5388.74
