claim_id,organization,claimed_reduction_tco2e,historical_avg_emissions_tco2e,current_emissions_tco2e,historical_avg_energy_mwh,current_energy_mwh,actual_reduction_tco2e,expected_reduction_tco2e,reduction_gap_tco2e,reduction_gap_ratio,energy_change_pct,emissions_change_pct,anomaly_score,model_flag,credibility_score,risk_level,recommendation
C0018,EcoSystems 10,358.96,5854.94,5479.55,5147.2,4577.56,375.3899999999994,375.3899999999994,-16.42999999999944,-0.043767814689340816,-11.066987874753838,-6.411508912745209,-0.03883765727424365,0,87.29,LOW,Approve claim
C0019,CedarFoods 659,773.78,12778.54,11960.63,6327.56,5442.2,817.9100000000017,817.9100000000017,-44.1300000000017,-0.053954591515016345,-13.992123343912649,-6.400652969243708,-0.053879633449472,0,86.67,LOW,Approve claim
C0020,TerraMetals 141,1450.52,8576.88,7246.84,6663.84,6210.32,1330.039999999999,1330.039999999999,120.48000000000093,0.09058374177424533,-6.805685609677657,-15.507270707354264,-0.02746852427584129,0,88.01,LOW,Approve claim
C0021,SunAlloys 291,1603.93,10277.67,8513.14,3507.81,3333.28,1764.5300000000007,1764.5300000000007,-160.6000000000006,-0.09101573785029712,-4.975469023414753,-17.16858003641209,0.0174041717017982,1,84.19,LOW,Approve claim
C0022,TerraChem 968,2450.12,14721.79,12280.87,6217.34,5364.24,2440.92,2440.92,9.199999999999818,0.003769070676724656,-13.721302033711963,-16.5803207343278,0.04442329770467712,1,76.92,LOW,Approve claim
C0023,AquaChem 316,1376.77,13309.75,11997.73,5739.14,5501.9,1312.0200000000004,1312.0200000000004,64.74999999999955,0.04935138180107631,-4.133720382473044,-9.8575856037974,-0.06004740608745979,0,93.68,LOW,Approve claim
C0024,EcoFoods 6,1041.77,7043.45,5930.27,2775.17,2640.87,1113.1799999999994,1113.1799999999994,-71.4099999999994,-0.06414955347369687,-4.8393431736292465,-15.804470818163749,-0.04087701176143815,0,91.15,LOW,Approve claim
C0025,AquaTextiles 599,1435.54,14519.83,13208.08,3180.39,2788.28,1311.75,1311.75,123.78999999999996,0.09437011618496652,-12.328991094699386,-9.034196680743907,-0.0247323490201532,0,84.02,LOW,Approve claim
C0026,NovaPower 433,270.85,4364.45,4071.43,3363.11,2988.73,293.02,293.02,-22.16999999999996,-0.07566036422203125,-11.131958213935333,-6.71378982306733,-0.012075898716695233,0,84.41,LOW,Approve claim
C0027,BlueFoods 506,982.01,12392.3,11450.84,5296.14,4626.21,941.4599999999991,941.4599999999991,40.550000000000864,0.043071399695079456,-12.649401259662815,-7.5971369311913675,-0.08065274458188865,0,90.38,LOW,Approve claim
C0028,GreenMaterials 825,574.25,5660.29,5084.73,7201.59,6725.47,575.5600000000004,575.5600000000004,-1.3100000000004002,-0.002276044196477092,-6.6113177775170024,-10.168383596923771,-0.08699724798372271,0,95.41,LOW,Approve claim
C0029,BluePower 662,2663.55,15476.35,12841.89,3675.45,3554.23,2634.460000000001,2634.460000000001,29.089999999999236,0.011042111092579548,-3.2980995515384186,-17.02248915170422,0.08875280866319835,1,79.05,LOW,Approve claim
C0030,BlueAlloys 840,1117.44,5856.01,4827.63,4405.13,3957.9,1028.38,1028.38,89.05999999999995,0.08660222866391577,-10.152481309257052,-17.561103888558748,-0.00495847599926752,0,83.72,LOW,Approve claim
C0031,BlueMaterials 803,541.77,9715.1,9206.82,6416.2,6139.68,508.28000000000065,508.28000000000065,33.48999999999933,0.0658888800151696,-4.309716030624082,-5.2318555645097025,-0.05745230133471402,0,93.57,LOW,Approve claim
C0032,TerraMaterials 463,2548.92,10463.08,10009.12,5433.09,6295.4,453.9599999999991,453.9599999999991,2094.960000000001,4.614855924277798,15.87144700053349,-4.338684211117685,0.09711777264145283,1,51.28,MEDIUM,Request additional evidence
C0033,TerraLabs 426,1228.11,11892.79,10596.39,6871.2,6460.71,1296.4000000000015,1296.4000000000015,-68.29000000000156,-0.05267664297078435,-5.97406566451652,-10.900722201358926,-0.07080738888846944,0,93.55,LOW,Approve claim
C0034,AquaMaterials 840,737.65,5442.28,4749.61,2466.07,2348.83,692.6700000000001,692.6700000000001,44.979999999999905,0.06493712725404995,-4.754122954841469,-12.72757006020867,-0.0769940566816007,0,95.21,LOW,Approve claim
C0035,CedarTextiles 310,392.58,5897.69,5475.89,7165.34,6705.56,421.7999999999993,421.7999999999993,-29.21999999999929,-0.06927453753135325,-6.416722722659811,-7.151952712476915,-0.04721400472759274,0,91.14,LOW,Approve claim
C0036,NovaCement 540,286.35,4853.67,4577.3,3060.53,2751.61,276.3699999999999,276.3699999999999,9.980000000000132,0.036111010471068225,-10.09367658213,-5.694041826969272,-0.01593451813668223,0,85.61,LOW,Approve claim
C0037,GreenSystems 393,1183.3,7952.29,6650.1,4874.89,4230.75,1302.1899999999996,1302.1899999999996,-118.88999999999965,-0.09130004063055286,-13.213426351525182,-16.375031592613563,-0.01097301161063724,0,82.04,LOW,Approve claim
C0038,NovaCement 888,724.87,7142.77,6399.11,5241.78,5053.54,743.6600000000008,743.6600000000008,-18.79000000000076,-0.025266923022259927,-3.5911465182454876,-10.411367017220028,-0.0789241313987109,0,96.42,LOW,Approve claim
C0039,TerraLabs 523,281.89,5399.73,5093.27,6684.02,5741.7,306.4599999999991,306.4599999999991,-24.56999999999914,-0.08017359498735761,-14.098102636721904,-5.675468957582035,0.004985137992695066,1,80.64,LOW,Approve claim
C0040,CedarSystems 800,2517.9,15758.93,13374.1,6511.14,5813.81,2384.83,2384.83,133.07000000000016,0.0557985264963128,-10.709798896858336,-15.133197494047298,0.041572482276087674,1,78.1,LOW,Approve claim
C0041,AquaMaterials 135,3039.01,10525.6,10074.28,4928.23,5551.37,451.3199999999997,451.3199999999997,2587.6900000000005,5.733603638807051,12.644296225491857,-4.287831572139559,0.09536477649414843,1,49.19,MEDIUM,Request additional evidence
C0042,TerraFoods 62,2318.79,9838.95,9724.54,4392.89,4852.07,114.40999999999985,114.40999999999985,2204.38,19.267371564833766,10.452799862857283,-1.1628273340993862,0.14279099934805495,1,49.14,MEDIUM,Request additional evidence
C0043,BlueChem 379,2122.66,12291.77,10160.97,3732.82,3210.37,2130.800000000001,2130.800000000001,-8.140000000001237,-0.0038201614399197823,-13.996120891445049,-17.33517629948046,0.014305138525844363,1,79.88,LOW,Approve claim
C0044,UrbanTextiles 460,2255.32,14213.01,12016.09,5689.23,5154.86,2196.92,2196.92,58.40000000000009,0.02658267027175201,-9.39265946193199,-15.457105847708746,-0.005923304099656357,0,84.6,LOW,Approve claim
C0045,SunMetals 288,3661.3,12871.74,12424.58,3213.23,3913.6,447.15999999999985,447.15999999999985,3214.1400000000003,7.187896933563164,21.796447804297713,-3.4739670003065646,0.15634105441048984,1,31.13,HIGH,Escalate for physical audit
C0046,HydroMetals 621,1459.98,5197.02,5161.31,7247.67,8991.04,35.710000000000036,35.710000000000036,1424.27,39.88434500463886,24.05421328177826,-0.687124544318259,0.2135432086361405,1,39.72,HIGH,Escalate for physical audit
C0047,UrbanChem 782,1035.28,13582.36,12455.84,7303.15,6566.92,1126.5200000000004,1126.5200000000004,-91.24000000000046,-0.08099279188918761,-10.08099244708365,-8.293993090428028,-0.0566697378019595,0,89.14,LOW,Approve claim
C0048,SunAlloys 168,1265.01,10866.42,9664.83,5248.37,4761.76,1201.5900000000001,1201.5900000000001,63.419999999999845,0.05278006636807877,-9.271640526626044,-11.057827692003638,-0.0812517735707255,0,92.49,LOW,Approve claim
C0049,BlueLabs 798,1580.78,10007.41,8295.53,5397.76,5158.28,1711.8799999999992,1711.8799999999992,-131.09999999999923,-0.07658247068919365,-4.436655204300189,-17.106124360138516,0.00030777662005243567,1,86.59,LOW,Approve claim
C0050,UrbanMetals 488,1354.45,9139.58,7885.08,6358.77,5913.42,1254.5,1254.5,99.95000000000005,0.0796731765008584,-7.003712981126274,-13.726013666522311,-0.05572672276116769,0,91.01,LOW,Approve claim
C0051,HydroSystems 762,624.47,7392.31,6720.52,4103.06,3902.36,671.79,671.79,-47.319999999999936,-0.0704386786489249,-4.891471242221306,-9.087687068171153,-0.07628634514456051,0,95.03,LOW,Approve claim
C0052,GreenLabs 554,1122.87,8723.17,7659.91,6113.27,5243.13,1063.2600000000002,1063.2600000000002,59.60999999999967,0.05606342751907927,-14.23362619118187,-12.188917559535248,-0.05716727527095394,0,86.71,LOW,Approve claim
C0053,NovaAlloys 479,1143.85,8641.04,7402.7,7526.47,6441.58,1238.340000000001,1238.340000000001,-94.49000000000115,-0.07630376142553523,-14.414327033202245,-14.330913869819973,-0.02676579899376852,0,83.11,LOW,Approve claim
C0054,TerraSystems 877,777.69,5638.68,4853.81,5335.42,5167.48,784.8699999999999,784.8699999999999,-7.179999999999836,-0.009148011760994593,-3.147643483896752,-13.919392479459836,-0.05822932571067041,0,94.66,LOW,Approve claim
C0055,HydroMaterials 824,895.31,7685.24,6859.07,4622.01,4315.89,826.1700000000001,826.1700000000001,69.13999999999987,0.08368737658873172,-6.623092549210602,-10.75008717870228,-0.07411505393159712,0,93.45,LOW,Approve claim
C0056,UrbanMaterials 544,1278.27,15965.01,14577.52,6935.6,6031.01,1387.4899999999998,1387.4899999999998,-109.2199999999998,-0.07871768439504583,-13.042707189999033,-8.690818232579193,-0.024358594241352005,0,83.64,LOW,Approve claim
C0057,BlueAlloys 998,674.36,12055.08,11310.59,5675.69,4894.46,744.4899999999998,744.4899999999998,-70.12999999999977,-0.09419871308654391,-13.764493830042774,-6.175736701359447,-0.03328613894302135,0,84.44,LOW,Approve claim
C0058,TerraFoods 453,2041.8,13365.86,11115.28,3190.12,2843.19,2250.58,2250.58,-208.77999999999997,-0.09276719774779514,-10.875139489776199,-16.838273031676355,0.03886555458214935,1,77.6,LOW,Approve claim
C0059,BlueMetals 6,793.42,4809.56,4067.96,5432.59,5114.1,741.6000000000004,741.6000000000004,51.819999999999595,0.06987594381084632,-5.8625811986800755,-15.419289911048148,-0.05488319602069547,0,92.11,LOW,Approve claim
C0060,TerraMetals 668,1936.07,15147.99,13015.82,6346.6,5518.0,2132.17,2132.17,-196.10000000000014,-0.0919720284536543,-13.055809407705576,-14.07559682742888,0.04202291175105288,1,75.93,LOW,Approve claim
C0061,CedarChem 202,891.91,5674.1,4840.72,4874.92,4360.12,833.3800000000001,833.3800000000001,58.52999999999986,0.07023206691997383,-10.560173292985288,-14.687439415116504,-0.05976142052182859,0,89.43,LOW,Approve claim
C0062,NovaCement 812,1226.04,6477.89,6247.96,3589.17,4470.13,229.9300000000003,229.9300000000003,996.1099999999997,4.332231529890692,24.54495049703833,-3.5494582335375515,0.13865382478078903,1,51.04,MEDIUM,Request additional evidence
C0063,UrbanMetals 616,613.93,4699.74,4031.22,6962.8,6609.26,668.52,668.52,-54.59000000000003,-0.08165799066346863,-5.077555005877296,-14.224616677896092,-0.041089919259468866,0,91.17,LOW,Approve claim
C0064,UrbanCement 376,1185.16,9611.02,8335.32,6412.45,5779.6,1275.7000000000007,1275.7000000000007,-90.54000000000065,-0.07097279919183803,-9.869082798326827,-13.273305017233007,-0.057496932600128725,0,89.37,LOW,Approve claim
C0065,AquaFoods 945,1189.69,7755.84,6662.5,5279.09,4709.44,1093.3400000000001,1093.3400000000001,96.34999999999991,0.08812446257511426,-10.79068551383086,-14.096990137226015,-0.04865426502676867,0,87.78,LOW,Approve claim
C0066,BlueCement 461,561.29,8967.61,8380.24,4707.93,4490.93,587.3700000000008,587.3700000000008,-26.080000000000837,-0.04440131425779234,-4.60924440155031,-6.5499057155083875,-0.0688348716378343,0,94.63,LOW,Approve claim
C0067,SunMetals 305,1203.19,9249.26,8023.71,5460.43,5026.78,1225.5500000000002,1225.5500000000002,-22.360000000000127,-0.018244869635474077,-7.941682247013214,-13.250249207693345,-0.0786216726408906,0,93.47,LOW,Approve claim
C0068,CedarFoods 948,783.49,7941.08,7112.1,2298.33,2098.61,828.9799999999996,828.9799999999996,-45.489999999999554,-0.054874665185076735,-8.689787798666943,-10.439134222241913,-0.08810707993911587,0,93.75,LOW,Approve claim
C0069,SunMetals 572,1406.27,10876.11,9416.17,5961.01,5315.48,1459.9400000000005,1459.9400000000005,-53.67000000000053,-0.03676178470569936,-10.829205116107984,-13.423365521916997,-0.06431602024564653,0,89.77,LOW,Approve claim
C0070,TerraMaterials 343,942.75,9290.73,8390.6,5543.07,5035.72,900.1299999999992,900.1299999999992,42.6200000000008,0.04734871624393379,-9.152870158747243,-9.68847442454053,-0.09674328039939761,0,94.37,LOW,Approve claim
C0071,SunPower 885,1706.81,15068.47,13295.88,4869.98,4256.44,1772.5900000000001,1772.5900000000001,-65.7800000000002,-0.037109540256286364,-12.59840902578688,-11.76356989052216,-0.043389225738740544,0,86.31,LOW,Approve claim
C0072,SunSystems 384,848.77,5567.11,4679.38,2496.33,2404.79,887.7299999999996,887.7299999999996,-38.95999999999958,-0.04388721791097787,-3.6669831297677042,-15.945975557165923,-0.04172461852579856,0,92.31,LOW,Approve claim
C0073,NovaPower 334,974.52,6241.33,5326.67,3826.41,3704.88,914.6599999999999,914.6599999999999,59.86000000000013,0.06544508334742424,-3.176084109341103,-14.654889260036738,-0.04692277485773971,0,92.99,LOW,Approve claim
C0074,UrbanSystems 415,430.31,6012.63,5618.46,5404.62,5005.81,394.1700000000001,394.1700000000001,36.13999999999993,0.09168632800140446,-7.379057175642485,-6.555700249881384,-0.039940653835979556,0,89.68,LOW,Approve claim
C0075,EcoMetals 994,1813.86,13310.84,11455.35,3810.29,3373.44,1855.4899999999998,1855.4899999999998,-41.62999999999988,-0.022436121982637343,-11.465006597538505,-13.939691258106949,-0.03505155785327596,0,86.41,LOW,Approve claim
C0076,AquaAlloys 333,507.23,6666.88,6191.61,4987.99,4739.04,475.27000000000044,475.27000000000044,31.95999999999958,0.0672459863503978,-4.990988353025767,-7.1288218766306315,-0.06950960045878979,0,94.39,LOW,Approve claim
C0077,GreenLabs 988,1903.43,10760.44,8837.1,6714.88,6399.34,1923.3400000000001,1923.3400000000001,-19.910000000000082,-0.010351783870583617,-4.699115992437822,-17.874176147269612,0.020222689191343735,1,85.34,LOW,Approve claim
C0078,CedarTextiles 328,1362.8,13112.9,11657.2,4485.78,4270.1,1455.699999999999,1455.699999999999,-92.89999999999895,-0.06381809434373904,-4.808082428293821,-11.101281942888194,-0.044568102068105075,0,91.37,LOW,Approve claim
C0079,GreenFoods 906,423.0,4726.86,4311.05,3380.69,3080.4,415.8099999999995,415.8099999999995,7.190000000000509,0.01729155138815557,-8.882506231307067,-8.796748791206678,-0.06265226352970354,0,91.31,LOW,Approve claim
C0080,UrbanChem 14,972.21,7075.28,6135.07,6739.74,6012.53,940.21,940.21,32.0,0.03403494960271115,-10.789882100676008,-13.288661365587135,-0.08455367103446948,0,92.1,LOW,Approve claim
C0081,GreenMaterials 762,627.4,4885.68,4298.72,4116.35,3825.67,586.96,586.96,40.43999999999994,0.06889736937968953,-7.061595829542782,-12.013885475099906,-0.07125118220204996,0,93.12,LOW,Approve claim
C0082,EcoChem 531,2566.08,14253.78,11855.7,4876.35,4386.5,2398.08,2398.08,168.0,0.07005604480665531,-10.045423316610703,-16.824168745636303,0.05231172844283172,1,77.11,LOW,Approve claim
C0083,UrbanTextiles 340,695.53,10086.04,9444.09,5022.76,4631.86,641.9500000000007,641.9500000000007,53.579999999999245,0.08346444414134238,-7.78257372285705,-6.364737795372151,-0.06727818028437804,0,92.11,LOW,Approve claim
C0084,HydroAlloys 391,431.86,8198.5,7762.12,3153.82,2708.2,436.3800000000001,436.3800000000001,-4.5200000000000955,-0.010357944886663343,-14.12953180139339,-5.322680977578499,-0.040686811916920584,0,85.56,LOW,Approve claim
C0085,BlueChem 307,996.1,11262.03,10291.89,2140.23,1895.46,970.1400000000012,970.1400000000012,25.959999999998786,0.026759024443111023,-11.436621292367352,-8.614255155721114,-0.09177584242062686,0,92.48,LOW,Approve claim
C0086,UrbanLabs 802,1799.18,9834.57,8187.94,6287.88,5555.44,1646.63,1646.63,152.54999999999995,0.09264376326640239,-11.648441126158833,-16.7432841479858,0.01816540399094324,1,79.74,LOW,Approve claim
C0087,HydroAlloys 781,2117.43,14428.26,12333.08,2727.57,2501.7,2095.1800000000003,2095.1800000000003,22.249999999999545,0.010619612629645152,-8.280997368250507,-14.521362935342076,-0.024868883836406896,0,87.64,LOW,Approve claim
C0088,AquaAlloys 417,2229.14,15818.02,13518.27,3685.26,3243.03,2299.75,2299.75,-70.61000000000013,-0.030703337305923162,-11.999967434590785,-14.538798154602231,0.010263504769420673,1,81.07,LOW,Approve claim
C0089,AquaMetals 124,1621.53,4683.17,4568.51,6375.39,7948.03,114.65999999999985,114.65999999999985,1506.8700000000001,13.142072098883045,24.66735367959177,-2.4483416142381427,0.161044834571881,1,44.05,HIGH,Escalate for physical audit
C0090,TerraChem 74,854.09,5200.87,4398.54,5155.04,4428.36,802.3299999999999,802.3299999999999,51.760000000000105,0.06451210840363442,-14.096495853747697,-15.426842044614295,-0.02968392085320215,0,84.01,LOW,Approve claim
C0091,UrbanFoods 37,575.59,8597.89,8045.85,2367.84,2104.92,552.039999999999,552.039999999999,23.550000000000978,0.04265995210010337,-11.103790791986036,-6.420645064495971,-0.06916271976451083,0,90.37,LOW,Approve claim
C0092,HydroMaterials 9,746.3,12925.29,12196.75,6504.79,6126.58,728.5400000000009,728.5400000000009,17.75999999999908,0.02437752213416084,-5.814330669273823,-5.636546645712672,-0.08246086814443448,0,95.32,LOW,Approve claim
C0093,CedarFoods 857,575.55,4253.1,3665.97,4930.46,4765.03,587.1300000000006,587.1300000000006,-11.58000000000061,-0.019723059595451668,-3.3552650253008367,-13.804754176058708,-0.049235627479932376,0,93.55,LOW,Approve claim
C0094,HydroSystems 610,640.3,7004.37,6337.24,6790.3,5891.25,667.1300000000001,667.1300000000001,-26.830000000000155,-0.04021704909055671,-13.240210298036875,-9.52448257166248,-0.0702792606092818,0,89.03,LOW,Approve claim
C0095,HydroMaterials 590,2115.5,8883.89,8490.09,3611.54,3839.59,393.7999999999993,393.7999999999993,1721.7000000000007,4.372016240802407,6.3144808014546525,-4.4327428632690395,0.08604410079077796,1,62.14,MEDIUM,Request additional evidence
C0096,NovaMaterials 425,1671.65,15985.17,14338.18,3729.99,3556.85,1646.9899999999998,1646.9899999999998,24.66000000000031,0.014972768495878872,-4.6418354996549995,-10.303237312440015,-0.05014717850237699,0,92.67,LOW,Approve claim
C0097,CedarCement 996,1258.83,12470.4,11210.79,5373.67,4622.24,1259.6099999999988,1259.6099999999988,-0.7799999999988358,-0.0006192392878586208,-13.983553137058374,-10.100798690491008,-0.06449642948105233,0,88.17,LOW,Approve claim
C0098,EcoCement 103,268.12,4992.57,4731.47,3210.88,2939.91,261.09999999999945,261.09999999999945,7.02000000000055,0.02688625037577294,-8.439119491093066,-5.229771439312854,-0.01380143864800526,0,86.52,LOW,Approve claim
C0099,EcoSystems 343,1295.19,9160.5,7806.99,7375.65,6675.68,1353.5100000000002,1353.5100000000002,-58.320000000000164,-0.04308797124285168,-9.490282211128463,-14.775503518937233,-0.05797317594846724,0,89.96,LOW,Approve claim
C0100,EcoSystems 386,972.7,8039.04,7083.68,7099.86,6254.42,955.3599999999997,955.3599999999997,17.340000000000373,0.018150226073783863,-11.907840434613094,-11.884006048995397,-0.08906004201062018,0,91.96,LOW,Approve claim
C0101,TerraAlloys 653,764.04,7732.72,7021.9,3427.55,3260.79,710.8200000000006,710.8200000000006,53.219999999999345,0.07487127532304666,-4.865282780742729,-9.19236697964076,-0.08342064265257626,0,95.73,LOW,Approve claim
C0102,GreenFoods 61,1592.6,13545.3,12096.08,6411.03,5852.31,1449.2199999999993,1449.2199999999993,143.38000000000056,0.09893597928614332,-8.714980274820887,-10.699061666356661,-0.012240480179853186,0,84.95,LOW,Approve claim
C0103,SunPower 674,2131.05,13812.73,11707.86,7064.05,6695.15,2104.869999999999,2104.869999999999,26.1800000000012,0.012437822757492573,-5.222216716299833,-15.238624079726549,-0.014340717379553114,0,88.54,LOW,Approve claim
C0104,EcoCement 427,1795.81,15473.12,13828.54,4920.03,4751.26,1644.58,1644.58,151.23000000000002,0.0919566089263176,-3.4302636359066283,-10.628625641717464,0.008324249909407555,1,86.25,LOW,Approve claim
C0105,HydroMaterials 103,275.03,4684.73,4410.59,3453.37,3161.16,274.1399999999994,274.1399999999994,0.8900000000005548,0.0032465163666522225,-8.461589691095485,-5.851778009436651,-0.022108643563812147,0,87.42,LOW,Approve claim
C0106,UrbanTextiles 48,300.55,5516.88,5197.63,4214.77,3735.21,319.25,319.25,-18.69999999999999,-0.058574784468050756,-11.378082312586914,-5.786785283387206,-0.01762606407786682,0,84.86,LOW,Approve claim
C0107,GreenLabs 302,476.69,8850.68,8406.24,4391.35,4200.56,444.4400000000005,444.4400000000005,32.24999999999949,0.07256322546898619,-4.344677603847408,-5.021535067924556,-0.04470472230733302,0,92.23,LOW,Approve claim
C0108,BlueMetals 111,1130.4,9976.12,8917.93,3932.02,3445.75,1058.1900000000005,1058.1900000000005,72.20999999999958,0.06823916303476726,-12.366925902623352,-10.607230064332908,-0.06829779463982072,0,89.0,LOW,Approve claim
C0109,SunPower 260,850.77,8005.39,7105.72,3433.66,3049.12,899.6700000000001,899.6700000000001,-48.90000000000009,-0.054353262802635215,-11.19912862333512,-11.238303191819723,-0.07844277830438812,0,91.04,LOW,Approve claim
C0110,UrbanTextiles 247,618.61,4773.12,4092.94,4634.23,4411.54,680.1799999999998,680.1799999999998,-61.56999999999982,-0.09052015629609762,-4.805329039601968,-14.250217883847412,-0.033445594972540515,0,90.49,LOW,Approve claim
C0111,AquaTextiles 138,1033.12,15042.11,13921.75,2150.93,2078.33,1120.3600000000006,1120.3600000000006,-87.24000000000069,-0.07786782812857725,-3.3752841778322433,-7.448157206173329,-0.040889272938163745,0,91.99,LOW,Approve claim
C0112,UrbanAlloys 475,3113.99,10916.7,10453.05,5346.07,5458.83,463.65000000000146,463.65000000000146,2650.3399999999983,5.716251470470697,2.109212935463024,-4.247162603694613,0.11067689317345686,1,54.04,MEDIUM,Request additional evidence
C0113,TerraChem 163,1096.26,13320.66,12214.32,6805.2,5850.74,1106.3400000000001,1106.3400000000001,-10.080000000000155,-0.00911112315462609,-14.025451123548837,-8.305444324207253,-0.06538688733302123,0,88.15,LOW,Approve claim
C0114,AquaAlloys 908,789.32,8466.13,7692.39,6572.38,5744.88,773.7399999999989,773.7399999999989,15.580000000001178,0.020135962958959388,-12.590568407092928,-9.139240714572141,-0.09477035093701824,0,92.12,LOW,Approve claim
C0115,AquaFoods 216,529.75,9085.51,8538.98,3847.0,3717.81,546.5300000000007,546.5300000000007,-16.780000000000655,-0.030702797594455634,-3.358201194863999,-6.015402546910923,-0.059176114468413754,0,94.54,LOW,Approve claim
C0116,EcoMetals 701,2008.04,12757.16,10894.42,5994.5,5586.53,1862.7399999999998,1862.7399999999998,145.30000000000018,0.07800337133577248,-6.805738592575575,-14.601525730287811,-0.0025055739665569843,0,85.18,LOW,Approve claim
C0117,BlueCement 593,797.94,5687.11,4890.33,2890.45,2743.75,796.7799999999997,796.7799999999997,1.1600000000003092,0.0014558598340124623,-5.075334288752495,-14.010279383727358,-0.08062029427062634,0,95.77,LOW,Approve claim
C0118,BlueLabs 265,597.87,4395.64,3841.78,7561.97,7219.94,553.8600000000001,553.8600000000001,44.00999999999988,0.07946051334369579,-4.523027728948546,-12.600212935408676,-0.050941879100689424,0,92.66,LOW,Approve claim
